studies,country,Dignostic_method,Tryp_type,Year,study ID
"Zoonosis in dogs and cats attended by the Birth Control Project: Toxoplasma gondii, Leishmania spp. and Leptospira spp., serodiagnosis and epidemiology", NA , microscopic ," Leishmania spp.', 'Leishmania ",2017,"(Caldart et al., 2017)"
Leishmania in synanthropic rodents (Rattus rattus): new evidence for the urbanization of Leishmania (Leishmania) amazonensis, Brazil ," ELISA', 'IFAT', 'IFA', 'PCR ",Leishmania,2015,"(Calzada et al., 2015)"
Cutaneous Leishmaniasis in dogs: is high seroprevalence indicative of a reservoir role?, Panama , NA ," Leishmania spp.', 'Leishmania ",2016,"(Camejo et al., 2016)"
"Relationship between asymptomatic infections with Anaplasma marginale, Babesia spp. and Trypanosoma vivax in bulls and testosterone levels", NA , PCR ," T. vivax', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2016,"(Can et al., 2016)"
"Seroprevalence of Leishmania infection and molecular detection of Leishmania tropica and Leishmania infanturn in stray cats of Izmir, Turkey", Turkey ," ELISA', 'nested PCR', 'IFA', 'PCR', 'ITS1 "," Leishmania infantum', 'L. tropica', 'Leishmania major', 'Leishmania tropica', 'Leishmania ",2013,"(Cardia et al., 2013)"
Prevalence of Toxoplasma gondii and Leishmania spp. infection in cats from Brazil, Brazil ," IFAT', 'IFA "," Leishmania spp.', 'Leishmania ",2006,"(Cardinal et al., 2006)"
A prospective study of the effects of sustained vector surveillance following community-wide insecticide application on Trypanosoma cruzi infection of dogs and cats in rural northwestern Argentina, Argentina , xenodiagnosis ," T. cruzi', 'Trypanosoma ",2014,"(Cardinal et al., 2014)"
Heterogeneities in the Ecoepidemiology of Trypanosoma cruzi Infection in Rural Communities of the Argentinean Chaco, Argentina , NA ,Trypanosoma,2015,"(Cardoso et al., 2015)"
First report of Anaplasma platys infection in red foxes (Vulpes vulpes) and molecular detection of Ehrlichia canis and Leishmania infantum in foxes from Portugal, Portugal ," polymerase chain reaction', 'PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania ",2010,"(Cardoso et al., 2010)"
Low seroprevalence of Leishmania infantum infection in cats from northern Portugal based on DAT and ELISA, Portugal ," direct agglutination test', 'DAT', 'enzyme-linked immunosorbent assay', 'ELISA "," Leishmania infantum', 'Leishmania ",2004,"(Cardoso et al., 2004)"
"Sero-epidemiological study of canine Leishmania spp. infection in the municipality of Alijo (Alto Douro, Portugal)", Portugal ," direct agglutination test', 'DAT "," Leishmania infantum', 'Leishmania spp.', 'Leishmania ",2004,"(Cardoso et al., 2004)"
"Serological survey of Leishmania infection in dogs from the municipality of Peso da Re'gua (Alto Douro, Portugal) using the direct agglutination test (DAT) and fast agglutination screening test (FAST)", Portugal ," direct agglutination test', 'DAT "," Leishmania infantum', 'Leishmania ",2015,"(Cardoso et al., 2015)"
Expanding the knowledge about Leishmania species in wild mammals and dogs in the Brazilian savannah, Brazil ," DPP', 'PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'Leishmania spp.', 'Leishmania', 'Trypanosoma ",2017,"(Carhuallanqui et al., 2017)"
TRYPANOSOMA SPP IN RATS (Rattus rattus AND Rattus norvegicus) FROM TWO ENVIRONMENTS: FOOD MARKETS AND PIG FARMS, Peru , smears ,Trypanosoma,2012,"(Carleton et al., 2012)"
"Parasites and Pathogens of Eastern Bluebirds (Sialia sialis): A Field Survey of a Population Nesting Within a Grass-Dominated Agricultural Habitat in Georgia, U.S.A., with a Review of Previous Records", Georgia ," smears', 'polymerase chain reaction ",Trypanosoma,2013,"(Carlson et al., 2013)"
"DIVERSITY AND PHYLOGENETIC RELATIONSHIPS OF HEMOSPORIDIAN PARASITES IN BIRDS OF SOCORRO ISLAND, MEXICO, AND THEIR ROLE IN THE RE-INTRODUCTION OF THE SOCORRO DOVE (ZENAIDA GRAYSONI)", NA ," microscopy', 'PCR ",Trypanosoma,2017,"(Carnevali et al., 2017)"
PREVALENCE OF TRYPANOSOMA CRUZI AND ORGAN ALTERATIONS IN VIRGINIA OPOSSUMS (DIDELPHIS VIRGINIANA) FROM WESTERN MEXICO - SHORT COMMUNICATION, Mexico , NA ,Trypanosoma,2012,"(Carreira et al., 2012)"
Natural infection of Didelphis aurita (Mammalia: Marsupialia) with Leishmania infantum in Brazil," Brazil', 'Colombia ", NA ," Leishmania infantum', 'L. infantum', 'Leishmania ",2017,"(Carslake et al., 2017)"
"Cross-sectional survey of health management and prevalence of vector-borne diseases, endoparasites and ectoparasites in Samoan dogs", Samoa ," ELISA', 'PCR "," Leishmania infantum', 'Leishmania ",2015,"(Carvalho et al., 2015)"
"Leishmania (Viannia) braziliensis in dogs in Brazil: epidemiology, co-infection, and clinical aspects", Brazil , NA ," Leishmania infantum', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2013,"(Cassini et al., 2013)"
Preliminary study of the effects of preventive measures on the prevalence of Canine Leishmaniosis in a recently established focus in northern Italy, Italy ," IFAT', 'IFA "," Leishmania infantum', 'L. infantum', 'Leishmania ",2015,"(Castillo-Neyra et al., 2015)"
The potential of canine sentinels for reemerging Trypanosoma cruzi transmission, Peru , NA ," T. cruzi', 'Trypanosoma ",2007,"(Castro et al., 2007)"
Leishmania (Viannia) braziliensis: Epidemiology of canine cutaneous leishmaniasis in the state of Parana (Brazil), Brazil , ELISA ," Leishmania', 'Trypanosoma ",2019,"(Castro et al., 2019)"
"Molecular detection of Leishmania spp in Lutzomyia longipalpis in the city of Lavras, Minas Gerais, Brazil", Brazil , PCR ," Leishmania spp ', 'Leishmania spp.', 'Leishmania ",2001,"(Catarino et al., 2001)"
"Classification of trypanosomatids from fruits and seeds using morphological, biochemical and molecular markers revealed several genera among fruit isolates", NA , cultures ," Leptotmonas', 'Trypanosoma ",2016,"(Cavigli et al., 2016)"
Pathogen prevalence and abundance in honey bee colonies involved in almond pollination, NA , NA ,NA,2006,"(Ceballos et al., 2006)"
Long-term reduction of Trypanosoma cruzi infection in sylvatic mammals following deforestation and sustained vector surveillance in northwestern Argentina, Argentina , xenodiagnosis ," T. cruzi', 'Trypanosoma ",2005,"(Ceballos et al., 2005)"
Variations in prevalence of infection by Trypanosoma cruzi in sylvatic mammals of rural northwestern Argentina, Argentina , xenodiagnosis ," T. cruzi', 'Trypanosoma ",2018,"(Chagas et al., 2018)"
"Composition of sand fly fauna (Diptera: Psychodidae) and detection of Leishmania DNA (Kinetoplastida: Trypanosomatidae) in different ecotopes from a rural settlement in the central Amazon, Brazil", Brazil , NA ," Leishmania', 'Trypanosoma ",2009,"(Chargui et al., 2009)"
"USE OF PCR, IFAT AND IN VITRO CULTURE IN THE DETECTION OF LEISHMANIA INFANTUM INFECTION IN DOGS AND EVALUATION OF THE PREVALENCE OF CANINE LEISHMANIASIS IN A LOW ENDEMIC AREA IN TUNISIA", Tunisia ," IFAT', 'IFA', 'PCR ",Leishmania,2013,"(Chargui et al., 2013)"
Transmission of visceral leishmaniasis in a previously non-endemic region of Tunisia: Detection of Leishmania DNA in Phlebotomus perniciosus, Tunisia , NA ," L. infantum', 'Leishmania ",2018,"(Chargui et al., 2018)"
Transmission cycle analysis in a Leishmania infantum focus: Infection rates and blood meal origins in sand flies (Diptera: Psychodidae), NA , NA ," Leishmania infantum', 'L. infantum', 'L. major', 'Leishmania ",2013,"(Charles et al., 2013)"
Southern Plains Woodrats (Neotoma micropus) from Southern Texas Are Important Reservoirs of Two Genotypes of Trypanosoma cruzi and Host of a Putative Novel Trypanosoma Species, NA ," polymerase chain reaction', 'PCR "," T. cruzi', 'Trypanosoma ",2014,"(Chatzis et al., 2014)"
Cytological and molecular detection of Leishmania infantum in different tissues of clinically normal and sick cats, NA , PCR ," Leishmania infantum', 'L. infantum', 'Leishmania ",2000,"(Chaudhary & Iqbal, 2000)"
"Incidence, biochemical and haematological alterations induced by natural trypanosomosis in racing dromedary camels", NA , NA ,NA,2013,"(Chaudhri et al., 2013)"
PREVALENCE OF HAEMOPROTOZOAN INFECTIONS IN PYRETIC DAIRY ANIMALS OF EASTERN HARYANA, NA , smears ," Trypanosoma evansi', 'Trypanosoma ",2008,"(Chaudhry et al., 2008)"
PREVALENCE OF Trypanosoma evansi IN CAMELS THROUGH POLYMERASE CHAIN REACTION AND HAEMATOCRIT CENTRIFUGATION TECHNIQUE IN PUNJAB (PAKISTAN), Pakistan ," MAT', 'polymerase chain reaction', 'PCR "," T. evansi', 'T. brucei', 'Trypanosoma evansi', 'Trypanosoma ",2015,"(Chemkhi et al., 2015)"
"Natural infection of Algerian hedgehog, Atelerix algirus (Lereboullet 1842) with Leishmania parasites in Tunisia"," Algeria', 'Tunisia "," PCR', 'ITS1 "," Leishmania infantum', 'L. infantum', 'L. major', 'Leishmania major', 'Leishmania ",2003,"(Chemuliti et al., 2003)"
Disease conditions of camels in now traditional camel keeping areas of Kajiado district in Kenya: A case study, Kenya , NA ,NA,2019,"(Chen et al., 2019)"
Multi-locus characterization and phylogenetic inference of Leishmania spp. in snakes from Northwest China, China , NA ," Leishmania spp.', 'L. turanica', 'Leishmania ",2004,"(Cherenet et al., 2004)"
"Seasonal prevalence of bovine trypanosomosis in a tsetse-infested zone and a tsetse-free zone of the Amhara Region, north-west Ethiopia", Ethiopia , NA ," Trypanosoma vivax', 'bovine trypanosomosis', 'bovine', 'Trypanosoma ",2006,"(Cherenet et al., 2006)"
"A comparative longitudinal study of bovine trypanosomiasis in tsetse-free and tsetse-infested zones of the Amhara Region, northwest Ethiopia", Ethiopia , NA ," T. vivax', 'Trypanosoma congolense', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2014,"(Chikweto et al., 2014)"
"Seroprevalence of Trypanosoma cruzi in stray and pet dogs in Grenada, West Indies", Grenada , NA ," T. cruzi', 'Trypanosoma ",2011,"(Chitimia et al., 2011)"
"Cryptic Leishmaniosis by Leishmania infantum, a feature of canines only? A study of natural infection in wild rabbits, humans and dogs in southeastern Spain", Spain ," ELISA', 'PCR "," Leishmania infantum', 'L. infantum', 'Leishmania ",2019,"(Chochlios et al., 2019)"
Seroprevalence and risk factors associated with Ehrlichia canis in a hospital canine population, Greece , NA ,NA,2005,"(Chowdhury et al., 2005)"
Prevalence of canine Trypanosomosis in and around Kolkata City, NA , NA ," T. evansi', 'Trypanosoma evansi', 'Trypanosomosis', 'Trypanosoma ",2011,"(Cimino et al., 2011)"
Immuno-enzymatic evaluation of the recombinant TSSA-II protein of Trypanosoma cruzi in dogs and human sera: a tool for epidemiological studies, NA ," ELISA', 'xenodiagnosis', 'PCR "," T. cruzi', 'Trypanosoma ",2003,"(Clausen et al., 2003)"
A field study to estimate the prevalence of Trypanosoma equiperdum in Mongolian horses, Mongolia ," enzyme-linked immunosorbent assay', 'ELISA', 'smears', 'microscopy', 'PCR', 'Giemsa stained ",Trypanosoma,2006,"(Coleman et al., 2006)"
"Impact of phlebotomine sand flies on US military operations at Tallil Air Base, Iraq: 1. Background, military situation, and development of a ""Leishmaniasis control program""", Iraq , polymerase chain reaction ,Leishmania,2006,"(Colla et al., 2006)"
Plight of the bumble bee: Pathogen spillover from commercial to wild populations, Canada , NA ,Crithidia bombi,2019,"(Collis et al., 2019)"
Epidemiological and molecular investigation of resurgent cutaneous leishmaniasis in Sudan, Sudan , NA ,NA,2011,"(Colombo et al., 2011)"
Detection of Leishmania (Leishmania) infantum RNA in fleas and ticks collected from naturally infected dogs, Brazil ," ELISA', 'PCR ",Leishmania,2016,"(Comeaux et al., 2016)"
"Survey of Feral Swine (Sus scrofa) Infection with the Agent of Chagas Disease (Trypanosoma cruzi) in Texas, 2013-14", NA , PCR ," T. cruzi', 'Trypanosoma ",2013,"(Cominetti et al., 2013)"
"Monitoring Trypanosoma cruzi infection in triatomines using PCR in Mato Grosso do Sul, Brazil", Brazil ," microscopic', 'polymerase chain reaction', 'microscopy', 'PCR "," T. cruzi', 'Trypanosoma ",2005,"(Concannon et al., 2005)"
"Molecular characterization of haemoparasites infecting bats (Microchiroptera) in Cornwall, UK", NA ," polymerase chain reaction', 'PCR ",Trypanosoma,2015,"(Constantino et al., 2015)"
"Seroepidemiology of Leishmania spp. in dogs residing in Telemaco Borba, Parana, Brazil", Brazil , DPP ," Leishmania spp.', 'Leishmania ",2016,"(Constantino et al., 2016)"
"Serosurvey for Leishmania spp., Toxoplasma gondii, Trypanosoma cruzi and Neospora caninum in neighborhood dogs in Curitiba-Parana, Brazil", Brazil ," IFAT', 'IFA "," Leishmania spp.', 'T. cruzi', 'Leishmania', 'Trypanosoma ",2017,"(Cooper et al., 2017)"
A comparative molecular and 3-dimensional structural investigation into cross-continental and novel avian Trypanosoma spp. in Australia, Australia ," microscopy', 'PCR ",Trypanosoma,2012,"(Cordes et al., 2012)"
Interspecific geographic distribution and variation of the pathogens Nosema bombi and Crithidia species in United States bumble bee populations, NA , NA ,NA,Na,"(Coronado et al., Na)"
Molecular epidemiology of Chagas disease in the wild transmission cycle: The evaluation in the sylvatic vector Mepraia spinolai from an endemic area of Chile, Chile , NA ,NA,2016,"(Correa et al., 2016)"
Infections of Hypostomus spp. by Trypanosoma spp. and leeches: a study of hematology and record of these hirudineans as potential vectors of these hemoflagellates, Brazil , NA ,Trypanosoma,2004,"(Cortada et al., 2004)"
"Canine visceral leishmaniosis in Anasticio, Mato Grosso do Sul State, Brazil", Brazil ," IFAT', 'cultures', 'IFA ",Leishmania,2012,"(Cortes et al., 2012)"
Risk factors for canine leishmaniasis in an endemic Mediterranean region, Portugal , NA ," Leishmania infantum', 'Leishmania ",2006,"(Cortez et al., 2006)"
"Trypanosoma cruzi (Kinetoplastida Trypanosomatidae): Ecology of the transmission cycle in the wild environment of the Andean valley of Cochabamba, Bolivia", Bolivia , NA ," T. cruzi', 'Trypanosoma ",2019,"(Costa et al., 2019)"
"Frequency and factors associated with Theileria equi, Babesia caballi and Trypanosoma evansi in equids from Bahia (Northeast Brazil)", Brazil , PCR ," Trypanosoma evansi', 'Trypanosoma ",2013,"(Costa et al., 2013)"
"Seroprevalence and risk factors for cattle anaplasmosis, babesiosis, and trypanosomiasis in a Brazilian semiarid region", Brazil , IFA ," T. vivax', 'Trypanosoma vivax', 'Trypanosoma ",2018,"(Coulibaly et al., 2018)"
"Impact of insecticide-treated bednets and indoor residual spraying in controlling populations of Phlebotomus duboscqi, the vector of Leishmania major in Central Mali", Mali , PCR ," Leishmania major', 'Leishmania ",2011,"(Coura-Vital et al., 2011)"
PREVALENCE AND RISK FACTORS ASSOCIATED WITH INFECTION BY LEISHMANIA INFANTUM IN DOGS FROM AN URBAN AREA OF BRAZIL IDENTIFIED BY MOLECULAR METHODS, NA , NA ,NA,2005,"(Coutinho et al., 2005)"
Participation of Rhipicephalus sanguineus (Acari : Ixodidae) in the epidemiology of canine visceral leishmaniasis, NA ," IFAT', 'smears', 'IFA', 'PCR ",Leishmania,2010,"(Couto et al., 2010)"
Serological Study of Selected Vector-Borne Diseases in Shelter Dogs in Central Spain Using Point-of-Care Assays, Spain , NA ," Leishmania infantum', 'Leishmania ",2013,"(Crawford et al., 2013)"
Infectious agent screening in canine blood donors in the United Kingdom, NA , polymerase chain reaction ,Leishmania,2002,"(Cringoli et al., 2002)"
Serological survey of Neospora caninum and Leishmania infantum co-infection in dogs, Italy , indirect fluorescent antibody test ," Leishmania infantum', 'L. infantum', 'Leishmania ",2006,"(Crisante et al., 2006)"
Infected dogs as a risk factor in the transmission of human Trypanosoma cruzi infection in western Venezuela, Venezuela ," DAT', 'ELISA', 'IFAT', 'IFA ",Trypanosoma,2002,"(Cuba et al., 2002)"
"The triatomines of northern Peru, with emphasis on the ecology and infection by trypanosomes of Rhodnius ecuadoriensis (Triatominae)"," Ecuador', 'Peru ", NA ,Trypanosoma,2010,"(Cuglovici et al., 2010)"
"Epidemiologic aspects of an outbreak of Trypanosoma vivax in a dairy cattle herd in Minas Gerais state, Brazil", Brazil ," IFA', 'polymerase chain reaction', 'PCR', 'MHCT "," T. vivax', 'Trypanosoma vivax', 'bovine', 'Trypanosoma ",2016,"(Cunningham et al., 2016)"
Illuminating the Prevalence of Trypanosoma brucei s.l. in Glossina Using LAMP as a Tool for Xenomonitoring, NA , LAMP ," Trypanosoma brucei', 'Trypanosoma brucei brucei', 'Trypanosoma ",2012,"(Curi et al., 2012)"
Pathogens of Wild Maned Wolves (Chrysocyon brachyurus) in Brazil, Brazil , NA ,Leishmania,2006,"(Curi et al., 2006)"
Serologic evidence of Leishmania infection in free-ranging wild and domestic canids around a Brazilian National Park, Brazil , NA ,Leishmania,2018,"(Curtis-Robles et al., 2018)"
"Parasitic interactions among Trypanosoma cruzi, triatomine vectors, domestic animals, and wildlife in Big Bend National Park along the Texas-Mexico border", Mexico , NA ," T. cruzi', 'Trypanosoma ",2017,"(Curtis-Robles et al., 2017)"
